eq           ,H (kJ/mol) ,G (kJ/mol) ,S (J/Kmol)
Al(s)        ,       0   ,       0   ,     28
Al2O3(s)     ,    1676   ,    1582   ,     51
AlCl3(s)     ,     704   ,     629   ,    111
Ba(s)        ,       0   ,       0   ,     67
BaCO3(s)     ,    1219   ,    1139   ,    112
BaO(s)       ,     582   ,     552   ,     70
BaSO4(s)     ,    1465   ,    1353   ,    132
Be(s)        ,       0   ,       0   ,     10
BeO(s)       ,     599   ,     569   ,     14
Be(OH)2(s)   ,     904   ,     815   ,     47
Br2(l)       ,       0   ,       0   ,    152
Br2(g)       ,      31   ,       3   ,    245
Br2(aq)      ,       3   ,       4   ,    130
Br(aq)       ,     121   ,     104   ,     82
HBr(g)       ,      36   ,      53   ,    199
Cd(s)        ,       0   ,       0   ,     52
CdO(s)       ,     258   ,     228   ,     55
Cd(OH)2(s)   ,     561   ,     474   ,     96
CdS(s)       ,     162   ,     156   ,     65
CdSO4(s)     ,     935   ,     823   ,    123
Ca(s)        ,       0   ,       0   ,     41
CaC2(s)      ,      63   ,      68   ,     70
CaCO3(s)     ,    1207   ,    1129   ,     93
CaO(s)       ,     635   ,     604   ,     40
Ca(OH)2(s)   ,     987   ,     899   ,     83
Ca3(PO4)2(s) ,    4126   ,    3890   ,    241
CaSO4(s)     ,    1433   ,    1320   ,    107
CaSiO3(s)    ,    1630   ,    1550   ,     84
C(s)         ,       0   ,       0   ,      6
C(s)         ,       2   ,       3   ,      2
CO(g)        ,     110.5 ,     137   ,    198
CO2(g)       ,     393.5 ,     394   ,    214
CH4(g)       ,      75   ,      51   ,    186
CH3OH(g)     ,     201   ,     163   ,    240
CH3OH(l)     ,     239   ,     166   ,    127
H2CO(g)      ,     116   ,     110   ,    219
HCOOH(g)     ,     363   ,     351   ,    249
HCN(g)       ,     135.1 ,     125   ,    202
C2H2(g)      ,     227   ,     209   ,    201
C2H4(g)      ,      52   ,      68   ,    219
CH3CHO(g)    ,     166   ,     129   ,    250
C2H5OH(l)    ,     278   ,     175   ,    161
C2H6(g)      ,      84.7 ,      32.9 ,    229.5
C3H6(g)      ,      20.9 ,      62.7 ,    266.9
C3H8(g)      ,     104   ,      24   ,    270
C2H4O(g)     ,      53   ,      13   ,    242
CH2PCHCN(g)  ,     185.0 ,     195.4 ,    274
CH3COOH(l)   ,     484   ,     389   ,    160
C6H12O6(s)   ,    1275   ,     911   ,    212
CCl4(l)         ,     135   ,      65   ,    216
Cl(aq)       ,     167   ,     131   ,     57
HCl(g)       ,      92   ,      95   ,    187
Cr(s)        ,       0   ,       0   ,     24
Cr2O3(s)     ,    1128   ,    1047   ,     81
CrO3(s)      ,     579   ,     502   ,     72
Cu(s)        ,       0   ,       0   ,     33
CuCO3(s)     ,     595   ,     518   ,     88
Cu2O(s)      ,     170   ,     148   ,     93
CuO(s)       ,     156   ,     128   ,     43
Cu(OH)2(s)   ,     450   ,     372   ,    108
CuS(s)       ,      49   ,      49   ,     67
F2(g)        ,       0   ,       0   ,    203
F(aq)        ,     333   ,     279   ,     14
HF(g)        ,     271   ,     273   ,    174
H2(g)        ,       0   ,       0   ,    131
H(g)         ,     217   ,     203   ,    115
H(aq)        ,       0   ,       0   ,      0
OH(aq)       ,     230   ,     157   ,     11
H2O(l)       ,     286   ,     237   ,     70
H2O(g)       ,     242   ,     229   ,    189
I2(s)        ,       0   ,       0   ,    116
I2(g)        ,      62   ,      19   ,    261
I2(aq)       ,      23   ,      16   ,    137
I(aq)        ,      55   ,      52   ,    106
Fe(s)        ,       0   ,       0   ,     27
Fe3C(s)      ,      21   ,      15   ,    108
Fe0.95O(s)   ,     264   ,     240   ,     59
